Format Version,1.24,Take Name,Take 2025-12-05 04.42.50 PM,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2025-12-05 04.42.51.191 PM,Capture Start Frame,1038231,Total Frames in Take,3273,Total Exported Frames,3273,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z
153,1.530000,-0.009615,0.000770,-0.721164,0.692697,-357.753143,1437.137817,110.472450
154,1.540000,-0.009520,0.000874,-0.721094,0.692771,-357.747589,1437.142212,110.479660
155,1.550000,-0.009603,0.000807,-0.721096,0.692768,-357.749298,1437.148193,110.483215
156,1.560000,-0.009562,0.000862,-0.721153,0.692710,-357.748932,1437.148315,110.482735
157,1.570000,-0.009506,0.000676,-0.721126,0.692739,-357.747803,1437.140015,110.473145
158,1.580000,-0.009532,0.000770,-0.721141,0.692722,-357.751160,1437.141235,110.470955
159,1.590000,-0.009539,0.000727,-0.721092,0.692774,-357.746063,1437.140137,110.469879
160,1.600000,-0.009531,0.000813,-0.721029,0.692839,-357.745361,1437.147461,110.480659
161,1.610000,-0.009539,0.000913,-0.721103,0.692762,-357.741150,1437.150024,110.480247
162,1.620000,-0.009463,0.000893,-0.721051,0.692816,-357.743469,1437.149048,110.481644
163,1.630000,-0.009598,0.000890,-0.721133,0.692730,-357.744873,1437.142578,110.472305
164,1.640000,-0.009667,0.000649,-0.721233,0.692624,-357.743927,1437.132324,110.467125
165,1.650000,-0.009495,0.000770,-0.721070,0.692796,-357.739288,1437.136230,110.464439
166,1.660000,-0.009445,0.000708,-0.721110,0.692756,-357.743500,1437.139038,110.479851
167,1.670000,-0.009632,0.000885,-0.721102,0.692761,-357.749054,1437.152954,110.483162
168,1.680000,-0.009632,0.000849,-0.721086,0.692779,-357.745758,1437.150513,110.480621
169,1.690000,-0.009526,0.000657,-0.721059,0.692808,-357.742188,1437.141479,110.469452
170,1.700000,-0.009539,0.000763,-0.721092,0.692773,-357.739594,1437.141724,110.466972
171,1.710000,-0.009512,0.000745,-0.721119,0.692746,-357.748444,1437.145020,110.476837
172,1.720000,-0.009628,0.000699,-0.721258,0.692599,-357.757965,1437.136230,110.485146
173,1.730000,-0.009480,0.000825,-0.721155,0.692708,-357.752747,1437.141357,110.478432
174,1.740000,-0.009422,0.000810,-0.721213,0.692649,-357.761108,1437.139893,110.487495
175,1.750000,-0.009637,0.001109,-0.722047,0.691776,-357.896637,1437.140503,110.524002
176,1.760000,-0.009689,0.000948,-0.724718,0.688977,-358.237915,1437.204224,110.555840
177,1.770000,-0.009918,0.001135,-0.727850,0.685664,-358.647034,1437.334595,110.532936
178,1.780000,-0.009758,0.002007,-0.730784,0.682536,-359.093964,1437.523926,110.500725
179,1.790000,-0.009530,0.002359,-0.734420,0.678625,-359.574463,1437.704102,110.508133
180,1.800000,-0.009537,0.003066,-0.738645,0.674020,-360.111908,1437.851562,110.456734
181,1.810000,-0.009518,0.003964,-0.743481,0.668678,-360.735504,1437.964233,110.389359
182,1.820000,-0.005391,-0.008342,-0.756239,0.654220,-361.821075,1437.433228,110.823166
183,1.830000,-0.005362,-0.009326,-0.763144,0.646139,-362.633392,1437.408691,110.865257
184,1.840000,-0.007046,-0.006619,-0.768732,0.639498,-363.456696,1437.658813,110.818520
185,1.850000,-0.007357,-0.006809,-0.775270,0.631550,-364.357056,1437.782227,110.901474
186,1.860000,-0.008853,-0.004549,-0.781384,0.623971,-365.413574,1438.109131,110.870285
187,1.870000,-0.008964,-0.005002,-0.787180,0.616638,-366.414368,1438.636353,110.901352
188,1.880000,-0.007276,-0.003987,-0.791047,0.611699,-367.155670,1439.071289,110.788635
189,1.890000,-0.007064,-0.006533,-0.797506,0.603235,-368.135101,1439.526978,110.973274
190,1.900000,-0.006007,-0.007461,-0.803437,0.595312,-368.984344,1439.950439,110.945168
191,1.910000,-0.007455,-0.005864,-0.809390,0.587195,-369.719666,1440.354370,110.911766
192,1.920000,-0.007379,-0.005211,-0.815293,0.578978,-370.521667,1440.625244,110.875999
193,1.930000,-0.007246,-0.005250,-0.821389,0.570298,-371.591736,1440.847778,110.826431
194,1.940000,-0.007337,-0.004188,-0.827459,0.561462,-372.585907,1441.322021,110.847992
195,1.950000,-0.008703,-0.002673,-0.833461,0.552504,-373.520721,1441.906250,110.839348
196,1.960000,-0.009301,-0.003640,-0.839473,0.543310,-374.585236,1442.514771,110.946236
197,1.970000,-0.009358,-0.002753,-0.844180,0.535971,-375.614380,1443.143555,110.976799
198,1.980000,-0.010031,-0.003181,-0.849786,0.527023,-376.740143,1443.794312,111.056877
199,1.990000,-0.010624,-0.001848,-0.855427,0.517811,-377.684906,1444.311279,111.127937
200,2.000000,-0.010142,-0.001444,-0.861255,0.508070,-378.765381,1444.732178,111.076050
201,2.010000,-0.010408,-0.000934,-0.867035,0.498138,-379.703064,1445.157349,110.985954
202,2.020000,-0.012085,-0.001113,-0.873084,0.487419,-380.563171,1445.538574,111.016029
203,2.030000,-0.013359,-0.001654,-0.878772,0.477052,-381.372742,1445.931885,111.009972
204,2.040000,-0.012897,-0.001220,-0.884254,0.466826,-382.390869,1446.566162,110.978073
205,2.050000,-0.013338,-0.001114,-0.889532,0.456677,-383.303070,1447.215576,111.100403
206,2.060000,-0.013173,-0.000175,-0.895083,0.445706,-384.337921,1447.939331,110.931938
207,2.070000,-0.013113,-0.000399,-0.900339,0.434992,-385.331665,1448.645752,110.868195
208,2.080000,-0.014506,-0.000013,-0.906099,0.422817,-386.230164,1449.369873,110.917587
209,2.090000,-0.014819,0.000866,-0.910851,0.412469,-387.118591,1450.201660,110.868385
210,2.100000,-0.015464,0.002033,-0.916858,0.398908,-388.004242,1450.993652,110.777802
211,2.110000,-0.015702,0.002848,-0.921414,0.388256,-388.838501,1451.780518,110.781090
212,2.120000,-0.016338,0.004229,-0.925295,0.378872,-389.618408,1452.497437,110.839180
213,2.130000,-0.014745,0.003396,-0.929800,0.367754,-390.463318,1453.290894,110.705505
214,2.140000,-0.015251,0.003762,-0.933944,0.357073,-391.289368,1453.982300,110.769669
215,2.150000,-0.015205,0.005238,-0.937762,0.346906,-392.055023,1454.766846,110.851898
216,2.160000,-0.016243,0.006500,-0.941166,0.337490,-392.825684,1455.453491,110.936493
217,2.170000,-0.014902,0.004890,-0.945202,0.326111,-393.655212,1456.397339,110.869392
218,2.180000,-0.013898,0.005048,-0.948531,0.316340,-394.339020,1457.457764,110.851669
219,2.190000,-0.013290,0.007321,-0.951634,0.306858,-395.122559,1458.424072,110.784714
220,2.200000,-0.012137,0.004456,-0.955148,0.295846,-395.860870,1459.347656,110.716934
221,2.210000,-0.012391,0.005569,-0.958238,0.285651,-396.535645,1460.213989,110.738358
222,2.220000,-0.013383,0.006429,-0.961353,0.274919,-397.214264,1461.092163,110.857925
223,2.230000,-0.013010,0.006149,-0.964306,0.264398,-397.663940,1462.017578,110.878815
224,2.240000,-0.012170,0.004952,-0.967501,0.252524,-398.348785,1463.068359,110.782448
225,2.250000,-0.012028,0.003063,-0.970151,0.242183,-398.866455,1464.129883,110.886536
