Frame,Time (seconds),R.x,R.y,R.z,R.w,P.x,P.y,P.z,omegas.x,omegas.y,omegas.z,omega
112,1.12,-0.004904,-0.004398,-0.714916,0.69918,-13.958763,-570.839417,106.466133,0.013140032232841596,-0.013162499817509152,0.04021795495404712,0.04431022172379425
113,1.13,-0.005006,-0.004534,-0.715149,0.69894,-14.009186,-570.85675,106.462341,0.004742100169883006,-0.03358453004144047,-0.06694136588600852,0.07504368486961502
114,1.14,-0.004938,-0.004575,-0.714802,0.699295,-13.951317,-570.810974,106.455482,0.01603987901969174,0.003969212936380962,0.09917922684896663,0.10054626501595902
115,1.15,-0.00469,-0.004532,-0.715009,0.699085,-13.917028,-570.832825,106.451859,0.028140920389050934,0.04148037963194549,-0.05915692200795242,0.07753756970790474
116,1.16,-0.004793,-0.004653,-0.714709,0.69939,-13.921633,-570.802856,106.450439,0.0034600764670213516,-0.03165198735398744,0.08554050196805107,0.09127430037836919
117,1.17,-0.004442,-0.004668,-0.714954,0.699142,-13.925375,-570.821228,106.451561,0.050775569363171576,0.048078464473213026,-0.07006068794627174,0.09898584336035694
118,1.18,-0.004259,-0.004427,-0.715067,0.699029,-13.921613,-570.853333,106.465073,-0.009078069899641321,0.05986084198782515,-0.03191530802215681,0.06844208239631003
119,1.19,-0.006191,-0.003778,-0.714861,0.699229,-13.945688,-570.887817,106.536728,-0.3625677243718567,-0.18556630238558594,0.05966608161541709,0.41164335125516477
120,1.2,-0.00525,-0.004232,-0.714857,0.699239,-13.920551,-570.856873,106.493118,0.1965195603939141,0.07104940659624455,0.0007159423606406534,0.2089700178699315
121,1.21,-0.005745,-0.00401,-0.714811,0.699283,-13.91293,-570.860535,106.520477,-0.1008790892907458,-0.03973565509430444,0.013375796717363109,0.10924479337583098
122,1.22,-0.005282,-0.004256,-0.714752,0.699345,-13.888992,-570.83252,106.50666,0.10004084156505551,0.03176870119317651,0.016461212272989023,0.10624684402862175
123,1.23,-0.005519,-0.004357,-0.714617,0.69948,-13.902399,-570.827393,106.504639,-0.01845344551773924,-0.0480337390125954,0.0382756754969682,0.0641310928470388
124,1.24,-0.005362,-0.004036,-0.714891,0.699204,-13.895368,-570.875854,106.523132,-0.02445815686607164,0.06740753856227148,-0.07756086846536503,0.10562985377918091
125,1.25,-0.005007,-0.004467,-0.714768,0.69933,-13.894831,-570.849976,106.511185,0.11150143026368645,-0.009544316155973669,0.034466890818019014,0.11709666726424862
126,1.26,-0.005575,-0.004632,-0.71469,0.699403,-13.969004,-570.819641,106.522774,-0.055713766198949195,-0.1042884437679018,0.021687384736523985,0.12021000750483299
127,1.27,-0.005877,-0.004203,-0.71487,0.69922,-13.921927,-570.862488,106.536034,-0.10393520161553274,0.0168726801701026,-0.050578084086694286,0.11681333854001746
128,1.28,-0.004757,-0.004714,-0.715038,0.699053,-13.92172,-570.85498,106.491974,0.2293475709905123,0.08872771765989036,-0.048912570506798314,0.25072964673919956
129,1.29,-0.005367,-0.004211,-0.714717,0.699381,-13.915008,-570.831177,106.499123,-0.15660259083464895,-0.016906065203740276,0.0928393576205222,0.18283690223854923
130,1.3,-0.004352,-0.004525,-0.714951,0.699146,-13.863605,-570.863953,106.474396,0.1864092293049702,0.10121967330024911,-0.06751460406357879,0.22260288586391672
131,1.31,-0.00413,-0.004608,-0.715117,0.698977,-13.909307,-570.860474,106.464561,0.04261296402688717,0.02012955288851065,-0.04765016950157852,0.06701941700863483
132,1.32,-0.005252,-0.004224,-0.714896,0.699198,-13.956598,-570.846924,106.487366,-0.2113853083278573,-0.10676974589144414,0.06385420527319496,0.24527716311482847
133,1.33,-0.004361,-0.004911,-0.715471,0.698612,-14.044704,-570.859863,106.457207,0.22172248027392322,0.03143358646014293,-0.16566790835986778,0.27855840406798194
134,1.34,-0.005303,-0.004318,-0.714766,0.69933,-13.914754,-570.843323,106.460396,-0.21515464226879807,-0.05184902772441026,0.20268834772193545,0.300103995421636
135,1.35,-0.004318,-0.004485,-0.714887,0.699212,-13.89311,-570.842834,106.432594,0.16141160815399047,0.1174777515809626,-0.03482004277655104,0.2026503509553748
136,1.36,-0.004868,-0.004299,-0.715032,0.699062,-13.932415,-570.859436,106.465332,-0.10376670979085353,-0.05263620571119981,-0.041069773805224585,0.12338892386637981
137,1.37,-0.00466,-0.004375,-0.715041,0.699054,-13.946509,-570.860779,106.461174,0.03993390660265873,0.019121457478789034,-0.002655192672507134,0.04435535008080922
138,1.38,-0.004735,-0.004541,-0.714885,0.699211,-13.949529,-570.842224,106.474205,0.01353637107497016,-0.03394221445655902,0.0441736717386787,0.05732905492828984
139,1.39,-0.005109,-0.004273,-0.714966,0.699128,-13.915742,-570.870728,106.470451,-0.09077096908625239,-0.015994359372113135,-0.02260084268667084,0.09489987592578471
140,1.4,-0.005144,-0.004565,-0.714635,0.699463,-13.920605,-570.814819,106.456505,0.037485300119395513,-0.04588576949075438,0.09391655633167462,0.1110449058714555
141,1.41,-0.005673,-0.004039,-0.714807,0.699287,-13.912883,-570.860046,106.492111,-0.14952098014653542,-0.0020086109814423936,-0.04819258174632024,0.15710850695436948
142,1.42,-0.006032,-0.003938,-0.714764,0.699329,-13.939982,-570.858521,106.495911,-0.0645655074272021,-0.037212398499465206,0.012422839496351035,0.07554994568209292
143,1.43,-0.005954,-0.003841,-0.715007,0.699081,-13.968947,-570.88562,106.522827,-0.0034474632399702533,0.024815131687710122,-0.06938409660445233,0.07376875100667839
144,1.44,-0.005317,-0.004386,-0.715272,0.698812,-14.007986,-570.882446,106.515274,0.16647484988931288,0.015000984919238958,-0.07665702924812834,0.18388911149756773
145,1.45,-0.006021,-0.003822,-0.715018,0.69907,-13.952628,-570.900818,106.544113,-0.17857822572051996,-0.021928087608063564,0.07362498316894062,0.19440077642402223
146,1.46,-0.005022,-0.00388,-0.71514,0.698952,-13.877898,-570.910767,106.505005,0.14773305287894825,0.1348081071621607,-0.034765214465937166,0.2029948295066683
147,1.47,-0.004822,-0.004475,-0.714852,0.699244,-13.879056,-570.853943,106.470512,0.11357661368233042,-0.054632411726230914,0.0812710653875115,0.14996444130456696
148,1.48,-0.006085,-0.00407,-0.714687,0.699407,-13.922725,-570.839844,106.5009,-0.23422716453923792,-0.12394608708781078,0.04790019222435937,0.26929431023993244
